CustomerID,Lookalikes
C0001,"[('C0152', 0.9949105156156487), ('C0174', 0.9402695214870155), ('C0011', 0.9387804476893306)]"
C0002,"[('C0134', 0.9671059785262768), ('C0199', 0.9195109425383987), ('C0005', 0.9045907364358263)]"
C0003,"[('C0129', 0.9467322077497322), ('C0031', 0.8992495129675189), ('C0085', 0.8938292051550087)]"
C0004,"[('C0108', 0.9807099432217922), ('C0165', 0.9743263543856628), ('C0155', 0.9432039524246053)]"
C0005,"[('C0159', 0.9996253660278263), ('C0007', 0.9390864469177951), ('C0073', 0.9294507950495503)]"
C0006,"[('C0187', 0.8921089931646968), ('C0158', 0.8834915649490995), ('C0148', 0.8744584907931896)]"
C0007,"[('C0159', 0.9479346960003612), ('C0005', 0.9390864469177951), ('C0070', 0.8888127427959435)]"
C0008,"[('C0024', 0.9091752027821395), ('C0194', 0.8830640726310168), ('C0098', 0.8756007832233388)]"
C0009,"[('C0097', 0.9680383731478134), ('C0180', 0.9482856410573528), ('C0060', 0.9171218429970961)]"
C0010,"[('C0199', 0.9911584150017397), ('C0060', 0.9687953569201527), ('C0062', 0.9395232569909272)]"
C0011,"[('C0107', 0.9915582888456562), ('C0001', 0.9387804476893306), ('C0152', 0.9151848366696741)]"
C0012,"[('C0013', 0.9614401474388795), ('C0126', 0.9575275705560887), ('C0195', 0.9216287201393171)]"
C0013,"[('C0087', 0.9869500229426347), ('C0012', 0.9614401474388795), ('C0126', 0.9380641962645888)]"
C0014,"[('C0033', 0.9599816534251947), ('C0058', 0.9593277815240405), ('C0097', 0.9536696487281086)]"
C0015,"[('C0058', 0.9657094308674643), ('C0130', 0.9144403148327752), ('C0151', 0.9084716647185703)]"
C0016,"[('C0183', 0.9972622471618169), ('C0187', 0.9761112459253809), ('C0018', 0.9456676624434022)]"
C0017,"[('C0093', 0.9455071207588563), ('C0075', 0.9264311208375156), ('C0090', 0.8766827139658857)]"
C0018,"[('C0016', 0.9456676624434022), ('C0183', 0.9432472102102502), ('C0187', 0.8986749960892929)]"
C0019,"[('C0010', 0.8718735322272968), ('C0199', 0.8389374857443104), ('C0002', 0.7740584084239213)]"
C0020,"[('C0063', 0.9005061693955471), ('C0144', 0.8794414619294807), ('C0110', 0.8741563112679938)]"
